Código Olla Común;Nombre de las Ollas Comunes;Departamento;Provincia;Distrito;Referencia;Centro Poblado;Cocina;N° Beneficiarios;Estado
X1501180018;OLLITA A-1;LIMA;LIMA;LURIGANCHO;;;Con balón de Gas;50;Transitado
X1501180019;VILLA HERMOSA;LIMA;LIMA;LURIGANCHO;;CHOSICA;Con balón de Gas;64;Transitado
X1501180020;VILLA DE LA ESPERANZA;LIMA;LIMA;LURIGANCHO;;;Con balón de Gas;57;Activo
X1501180021;PANCITA LLENA CORAZÓN CONTENTO;LIMA;LIMA;LURIGANCHO;;CHOSICA;Con balón de Gas;65;Transitado
X1501180022;SAGRADA FAMILIA -JICAMARCA;LIMA;LIMA;LURIGANCHO;;;Con balón de Gas;76;Transitado
X1501180023;SOL DE JICAMARCA;LIMA;LIMA;LURIGANCHO;;;Con balón de Gas;79;Transitado
X1501180024;LAS CASUARINAS;LIMA;LIMA;LURIGANCHO;;;Con balón de Gas;30;Cancelado
X1501180025;EMANUEL -JICAMARCA ANEXO 8;LIMA;LIMA;LURIGANCHO;;;Con balón de Gas;63;Transitado
X1501180026;virgen del carmen;LIMA;LIMA;LURIGANCHO;;;Con balón de Gas;58;Transitado
X1501180027;EL CHAPARRAL-JICAMARCA;LIMA;LIMA;LURIGANCHO;;;Con balón de Gas;92;Transitado
X1501180028;NIÑO JESÚS VALLE EL TRIUNFO;LIMA;LIMA;LURIGANCHO;;;Con balón de Gas;0;Cancelado
X1501180029;CORAZÓN DE JESUS;LIMA;LIMA;LURIGANCHO;;;Con balón de Gas;64;Activo
X1501180030;30 DE MARZO;LIMA;LIMA;LURIGANCHO;;;Con balón de Gas;46;Transitado
X1501180031;CONSUELO DE LA ASOCIACION LOS PORTALES JJ POBLETE VIDAL;LIMA;LIMA;LURIGANCHO;;CHOSICA;Con balón de Gas;71;Transitado
X1501180032;SANTA ROSA DE LIMA -JICAMARCA;LIMA;LIMA;LURIGANCHO;;CHOSICA;Con balón de Gas;41;Transitado
X1501180033;REY SALOMÓN;LIMA;LIMA;LURIGANCHO;;;Con balón de Gas;117;Inactivo
X1501180034;MAMITAS UNIDAS - JICAMARCA;LIMA;LIMA;LURIGANCHO;;;Con balón de Gas;43;Transitado
X1501180035;DIOS PROVEERA -CAJAMARQUILA;LIMA;LIMA;LURIGANCHO;;;Con balón de Gas;35;Transitado
X1501180036;AMOR DE DIOS- CAJAMARQUILLA;LIMA;LIMA;LURIGANCHO;;;Con balón de Gas;39;Transitado
X1501180037;LAS MADRES LUCHADORAS -CAJAMARQUILLA;LIMA;LIMA;LURIGANCHO;;;Con balón de Gas;28;Activo
X1501180038;CORAZON DE JESUS DE PIEDRA GRANDE- CAJAMARQUILLA;LIMA;LIMA;LURIGANCHO;;;Con balón de Gas;68;Transitado
X1501180039;SALVADO DE DIOS- CAJAMARQUILLA;LIMA;LIMA;LURIGANCHO;;;Con balón de Gas;51;Transitado
X1501180040;SANTA ROSA DE LIMA- CAJAMARQUILLA;LIMA;LIMA;LURIGANCHO;;;Con balón de Gas;122;Transitado
X1501180041;SANTA ROSA DE AGRUPAMIENTO CENTRO POBLADO SR. DE HUANCA;LIMA;LIMA;LURIGANCHO;;;Con balón de Gas;49;Inactivo
X1501180042;28 DE NOVIEMBRE- CAJAMARQUILLA;LIMA;LIMA;LURIGANCHO;;;Con balón de Gas;68;Activo
X1501180043;LAS MAMACHAS -CAJAMARQUILLA;LIMA;LIMA;LURIGANCHO;;;Con balón de Gas;82;Transitado
X1501180044;EL MIRADOR PARAISO DE CAJAMARQUILLA;LIMA;LIMA;LURIGANCHO;;;Con balón de Gas;82;Transitado
X1501180045;NUEVO AMANECER- CAJAMARQUILLA;LIMA;LIMA;LURIGANCHO;;CHOSICA;Con balón de Gas;59;Transitado
X1501180046;SAN JUAN BAUTISTA;LIMA;LIMA;LURIGANCHO;;;Con balón de Gas;91;Transitado
X1501180047;SAN DIEGO MIKUY- NIEVERIA;LIMA;LIMA;LURIGANCHO;;;Con balón de Gas;93;Transitado
X1501180048;SAN FRANCISCO BAJO;LIMA;LIMA;LURIGANCHO;;;Con balón de Gas;14;Inactivo
X1501180049;ALTO PARAISO ROSALY;LIMA;LIMA;LURIGANCHO;;;Con balón de Gas;80;Transitado
X1501180050;NUEVA ESPERANZA;LIMA;LIMA;LURIGANCHO;;;Con balón de Gas;45;Activo
X1501180051;PAMPACHIRI;LIMA;LIMA;LURIGANCHO;;CHOSICA;Con balón de Gas;25;Transitado
X1501180052;MAMITAS LUCHADORAS DE PAMPA CHIRI;LIMA;LIMA;LURIGANCHO;;CHOSICA;Con balón de Gas;88;Transitado
X1501180053;TODOS UNIDOS- ÑAÑA;LIMA;LIMA;LURIGANCHO;;;Con balón de Gas;71;Transitado
X1501180054;EL HUARANGAL- VALLECITO;LIMA;LIMA;LURIGANCHO;;;Con balón de Gas;66;Transitado
X1501180055;INMACULADA CORAZON DE MARIA;LIMA;LIMA;LURIGANCHO;;;Con balón de Gas;53;Activo
X1501180056;SANTA LUCIA -ANEXO 12 EL VALLECITO;LIMA;LIMA;LURIGANCHO;;;Con balón de Gas;144;Transitado
X1501180057;LAS TERRAZAS DEL VALLE;LIMA;LIMA;LURIGANCHO;;;Con balón de Gas;76;Activo
X1501180058;DIVINA FAMILIA;LIMA;LIMA;LURIGANCHO;;;Con balón de Gas;76;Transitado
X1501180059;AMPLIACION EL MIRADOR ANEXO 12;LIMA;LIMA;LURIGANCHO;;;Con balón de Gas;37;Activo
X1501180060;LA BENDICION DEL PADRE -VALLECITO ÑAÑA;LIMA;LIMA;LURIGANCHO;;CHOSICA;Con balón de Gas;57;Transitado
X1501180061;LA UNION HACE LA FUERZA LA ERA ÑAÑA;LIMA;LIMA;LURIGANCHO;;;Con balón de Gas;45;Transitado
X1501180062;NUEVA ESPERANZA;LIMA;LIMA;LURIGANCHO;;;Con balón de Gas;55;Activo
X1501180063;HATUN MANCA;LIMA;LIMA;LURIGANCHO;;;Con balón de Gas;67;Activo
X1501180064;EL MIRADOR -LA ERA ÑAÑA;LIMA;LIMA;LURIGANCHO;;;Con balón de Gas;65;Activo
X1501180065;LUZ ESPERANZA;LIMA;LIMA;LURIGANCHO;;;Con balón de Gas;58;Transitado
X1501180066;MISKY MIKUY- ÑAÑA;LIMA;LIMA;LURIGANCHO;;;Con balón de Gas;71;Activo
X1501180067;HIJOS DE ISRAEL;LIMA;LIMA;LURIGANCHO;;;Con balón de Gas;35;Activo
X1501180068;VILLA DEL SOL -LA ERA;LIMA;LIMA;LURIGANCHO;;;Con balón de Gas;33;Transitado
X1501180069;LLUVIA DE ESTRELLAS -CARAPONGO;LIMA;LIMA;LURIGANCHO;;;Con balón de Gas;83;Transitado
X1501180070;SEMBRANDO ESPERANZA;LIMA;LIMA;LURIGANCHO;;;Con balón de Gas;88;Activo
X1501180071;MI ANGEL PODEROSO -CARAPONGO;LIMA;LIMA;LURIGANCHO;;CHOSICA;Con balón de Gas;110;Transitado
X1501180072;OLLA COMÚN LOMAS ALTAS;LIMA;LIMA;LURIGANCHO;;;Con balón de Gas;34;Transitado
X1501180073;OLLA COMÚN NIÑO JESÚS LAS PALMERAS;LIMA;LIMA;LURIGANCHO;;CHOSICA;Con balón de Gas;32;Transitado
X1501180074;OLLA COMÚN LA BENDICIÓN DE DIOS;LIMA;LIMA;LURIGANCHO;;;Con balón de Gas;0;Cancelado
X1501180075;ALIMENTO AL CIELO;LIMA;LIMA;LURIGANCHO;;CHOSICA;Con balón de Gas;58;Transitado
X1501180076;RINCONCITO DE VALLE DE CARAPONGO;LIMA;LIMA;LURIGANCHO;;;Con balón de Gas;76;Transitado
X1501180077;EL PARAÍSO DEL VALLE;LIMA;LIMA;LURIGANCHO;;;Con balón de Gas;92;Transitado
X1501180078;MISERICORDIA DE JESÚS MARÍA -CARAPONGO;LIMA;LIMA;LURIGANCHO;;;Con balón de Gas;60;Activo
X1501180079;MARIA TERESA -CARAPONGO;LIMA;LIMA;LURIGANCHO;;;Con balón de Gas;30;Inactivo
X1501180080;CORAZON DE JESÚS DE CAMPO SOL;LIMA;LIMA;LURIGANCHO;;;Con balón de Gas;69;Transitado
X1501180081;CRUZ DE MAYO EL OLIVAR -CARAPONGO;LIMA;LIMA;LURIGANCHO;;;Con balón de Gas;87;Transitado
X1501180082;MANOS UNIDAS -CARAPONGO;LIMA;LIMA;LURIGANCHO;;;Con balón de Gas;92;Transitado
X1501180083;MUJERES UNIDAS DE CRUZ DE MAYO -CARAPONGO;LIMA;LIMA;LURIGANCHO;;;Con balón de Gas;90;Transitado
X1501180084;DIOS AMA EL MIRADOR -carapongo;LIMA;LIMA;LURIGANCHO;;;Con balón de Gas;52;Transitado
X1501180085;LA ESCALERITA DE ASUNCIÓN -CARAPONGO;LIMA;LIMA;LURIGANCHO;;CHOSICA;Con balón de Gas;82;Transitado
X1501180086;SANTA ROSA DE CARAPONGO ALTO;LIMA;LIMA;LURIGANCHO;;;Con balón de Gas;87;Transitado
X1501180087;SANTA TERESA;LIMA;LIMA;LURIGANCHO;;;Con balón de Gas;20;Activo
X1501180088;LOS GIRASOLES DE SAN ANTONIO;LIMA;LIMA;LURIGANCHO;;;Con balón de Gas;64;Transitado
X1501180089;NIÑO JESUS COMITE 24;LIMA;LIMA;LURIGANCHO;;;Con balón de Gas;55;Transitado
X1501180090;JUVENTUD SIERRA LIMEÑA;LIMA;LIMA;LURIGANCHO;;;Con balón de Gas;51;Transitado
X1501180091;COMITE 39 AMPLIACION NICOLAS DE PIEROLA;LIMA;LIMA;LURIGANCHO;;;Con balón de Gas;43;Inactivo
X1501180092;INMACULADA CONCEPCION;LIMA;LIMA;LURIGANCHO;;;Con balón de Gas;0;Cancelado
X1501180093;QUEDATE EN CASA II;LIMA;LIMA;LURIGANCHO;;;Con balón de Gas;76;Transitado
X1501180094;NIÑO JESUS;LIMA;LIMA;LURIGANCHO;;;Con balón de Gas;60;Activo
X1501180095;LOS CAÑAVERALES CALIFORNIA B;LIMA;LIMA;LURIGANCHO;;;Con balón de Gas;25;Activo
X1501180096;PATRON SANTO DOMINGO DE GUZMAN;LIMA;LIMA;LURIGANCHO;;;Con balón de Gas;31;Inactivo
X1501180097;OASIS DE ESPERANZA;LIMA;LIMA;LURIGANCHO;;;Con balón de Gas;69;Transitado
X1501180098;asoc solidaridad;LIMA;LIMA;LURIGANCHO;;;Con balón de Gas;0;Cancelado
X1501180099;UNIDOS POR AMOR;LIMA;LIMA;LURIGANCHO;;;Con balón de Gas;44;Activo
X1501180100;SANTIAGO CASAS;LIMA;LIMA;LURIGANCHO;;;Con balón de Gas;87;Activo
X1501180101;MARIA LUISA;LIMA;LIMA;LURIGANCHO;;CHOSICA;Con balón de Gas;62;Transitado
X1501180102;SAN MARTIN DE PORRAS;LIMA;LIMA;LURIGANCHO;;CHOSICA;Con balón de Gas;70;Transitado
X1501180103;CRISTO VIVE;LIMA;LIMA;LURIGANCHO;;;Con balón de Gas;0;Cancelado
X1501180104;VICTOR CASTILLO;LIMA;LIMA;LURIGANCHO;;;Con balón de Gas;38;Cancelado
X1501180105;NUEVO AMANECER ROSARIO;LIMA;LIMA;LURIGANCHO;;CHOSICA;Con balón de Gas;27;Inactivo
X1501180106;SEÑOR DE LOS MILAGROS;LIMA;LIMA;LURIGANCHO;;CHOSICA;Con balón de Gas;83;Activo
X1501180107;28 DE NOVIEMBRE SECTOR 6 -CAJAMARQUILLA;LIMA;LIMA;LURIGANCHO;;CHOSICA;Con balón de Gas;67;Transitado
X1501180108;UNION PROGRESO II- LA ESPERANZA;LIMA;LIMA;LURIGANCHO;;CHOSICA;Con balón de Gas;108;Inactivo
X1501180109;CASA HUERTA -CAJAMARQUILLA;LIMA;LIMA;LURIGANCHO;;CHOSICA;Con balón de Gas;67;Transitado
X1501180110;LA BENDICIÓN DE DIOS -CAJAMARQUILLA;LIMA;LIMA;LURIGANCHO;;CHOSICA;Con balón de Gas;81;Transitado
X1501180111;EL SALVADOR, LA CAMPIÑA -CAJAMARQUILLA;LIMA;LIMA;LURIGANCHO;;CHOSICA;Con balón de Gas;68;Transitado
X1501180112;MERY MEZA HUAMAN -CAJAMARQUILLA;LIMA;LIMA;LURIGANCHO;;CHOSICA;Con balón de Gas;130;Transitado
X1501180113;VIRGEN DEL CARMEN-BACILIO AUQUI;LIMA;LIMA;LURIGANCHO;;CHOSICA;Con balón de Gas;76;Transitado
X1501180114;OLLITA COMUNERA DE SANTO DOMINGO;LIMA;LIMA;LURIGANCHO;;CHOSICA;Con balón de Gas;40;Transitado
X1501180115;EMPRENDEDORAS VILLA DEL SOL;LIMA;LIMA;LURIGANCHO;;CHOSICA;Con balón de Gas;51;Transitado
X1501180116;SAN GABRIEL;LIMA;LIMA;LURIGANCHO;;CHOSICA;Con balón de Gas;99;Activo
X1501180117;OSWALDO BURGA SALDAÑA;LIMA;LIMA;LURIGANCHO;;CHOSICA;Con balón de Gas;39;Activo
X1501180118;HUERTO NICOLINI;LIMA;LIMA;LURIGANCHO;;CHOSICA;Con balón de Gas;32;Activo
X1501180119;SR DE MURUHUAY;LIMA;LIMA;LURIGANCHO;;CHOSICA;Con balón de Gas;26;Inactivo
X1501180120;SAN AGUSTIN;LIMA;LIMA;LURIGANCHO;;CHOSICA;Con balón de Gas;58;Activo
X1501180121;CARMENCITA;LIMA;LIMA;LURIGANCHO;;CHOSICA;Con balón de Gas;61;Activo
X1501180122;RENACER;LIMA;LIMA;LURIGANCHO;;CHOSICA;Con balón de Gas;43;Activo
X1501180123;VIRGEN DE GUADALUPE;LIMA;LIMA;LURIGANCHO;;CHOSICA;Con balón de Gas;53;Inactivo
X1501180124;BENDICION GUADALUPANA;LIMA;LIMA;LURIGANCHO;;;Con balón de Gas;80;Transitado
X1501180125;TEMFE;LIMA;LIMA;LURIGANCHO;;CHOSICA;Con balón de Gas;61;Activo
X1501180126;PATRON SANTO DOMINGO;LIMA;LIMA;LURIGANCHO;;CHOSICA;Con balón de Gas;0;Cancelado
X1501180127;MUJERES UNIDAS YANACOTO;LIMA;LIMA;LURIGANCHO;;CHOSICA;Con balón de Gas;35;Activo
X1501180128;VALLECITO;LIMA;LIMA;LURIGANCHO;;CHOSICA;Con balón de Gas;52;Transitado
X1501180129;ALIMENTOS DEL CIELO;LIMA;LIMA;LURIGANCHO;;;Con balón de Gas;0;Cancelado
X1501180130;CARLOS DIAS -CARAPONGO;LIMA;LIMA;LURIGANCHO;;;Con balón de Gas;95;Transitado
X1501180131;VIRGEN INMACULADA CONCEPCION;LIMA;LIMA;LURIGANCHO;;;Con balón de Gas;0;Cancelado
X1501180132;VIRGEN INMACULADA CONCEPCION -CARAPONGO;LIMA;LIMA;LURIGANCHO;;;Con balón de Gas;82;Transitado
X1501180133;EL PARAISO DEL VALLE;LIMA;LIMA;LURIGANCHO;;CHOSICA;Con balón de Gas;0;Cancelado
X1501180134;MIGUEL ANGEL PODEROSO;LIMA;LIMA;LURIGANCHO;;CHOSICA;Con balón de Gas;0;Cancelado
X1501180135;MUJERES BENDECIDAS POR DIOS -CAJAMARQUILLA;LIMA;LIMA;LURIGANCHO;;CHOSICA;Con balón de Gas;79;Activo
X1501180136;CASUARINAS 2DA ETAPA;LIMA;LIMA;LURIGANCHO;;CHOSICA;Con balón de Gas;125;Transitado
X1501180137;MICUY MISKYTA -NIEVERIA;LIMA;LIMA;LURIGANCHO;;CHOSICA;Con balón de Gas;65;Transitado
X1501180138;RAYITOS DEL SOL -ÑAÑA;LIMA;LIMA;LURIGANCHO;;;Con balón de Gas;67;Activo
X1501180139;NUEVO HORIZONTE -CARAPONGO;LIMA;LIMA;LURIGANCHO;;;Con balón de Gas;132;Transitado
X1501180140;EL PORTILLO 2;LIMA;LIMA;LURIGANCHO;;;Con balón de Gas;29;Inactivo
X1501180141;VIRGEN DE LA PUERTA;LIMA;LIMA;LURIGANCHO;;;Con balón de Gas;82;Transitado
X1501180142;CORAZON DE JESUS DE NIEVERIA;LIMA;LIMA;LURIGANCHO;;CHOSICA;Con balón de Gas;72;Transitado
X1501180143;SHEMAYA MORADA DE DIOS;LIMA;LIMA;LURIGANCHO;;CHOSICA;Con balón de Gas;57;Transitado
X1501180144;BENDICION DIVINA- NIEVERIA;LIMA;LIMA;LURIGANCHO;;CHOSICA;Con balón de Gas;43;Transitado
X1501180145;YANUY MISKITA- NIEVERIA;LIMA;LIMA;LURIGANCHO;;CHOSICA;Con balón de Gas;38;Transitado
X1501180146;VILLA EL SOL DE VIRGEN DE GUADALUPE -CARAPONGO;LIMA;LIMA;LURIGANCHO;;CHOSICA;Con balón de Gas;61;Transitado
X1501180147;1ERA PARCELA LOS TULIPANES -CARAPONGO;LIMA;LIMA;LURIGANCHO;;CHOSICA;Con balón de Gas;72;Transitado
X1501180148;CAMPO SOL DE DIOS -CARAPONGO;LIMA;LIMA;LURIGANCHO;;CHOSICA;Con balón de Gas;44;Activo
X1501180149;MISKY MIKUY -CARAPONGO;LIMA;LIMA;LURIGANCHO;;CHOSICA;Con balón de Gas;94;Transitado
X1501180150;DIVINO NIÑO JESÚS -CARAPONGO;LIMA;LIMA;LURIGANCHO;;CHOSICA;Con balón de Gas;44;Transitado
X1501180151;SANTA MARIA ALTA -CARAPONGO;LIMA;LIMA;LURIGANCHO;;CHOSICA;Con balón de Gas;108;Transitado
X1501180152;SEÑOR CAUTIVO -CARAPONGO;LIMA;LIMA;LURIGANCHO;;CHOSICA;Con balón de Gas;84;Activo
X1501180153;PORTILLO DE JESÚS;LIMA;LIMA;LURIGANCHO;;CHOSICA;Con balón de Gas;49;Activo
X1501180154;MIRADOR DEL VALLE DE PORTILLO -CARAPONGO;LIMA;LIMA;LURIGANCHO;;CHOSICA;Con balón de Gas;26;Inactivo
X1501180155;NUEVA ESPERANZA;LIMA;LIMA;LURIGANCHO;;CHOSICA;Con balón de Gas;27;Activo
X1501180156;BNAKTIVEDANTA;LIMA;LIMA;LURIGANCHO;;CHOSICA;Con balón de Gas;34;Inactivo
X1501180157;LOS ANGELES DE JESUS;LIMA;LIMA;LURIGANCHO;;CHOSICA;Con balón de Gas;47;Cancelado
X1501180158;DIOS ES AMOR;LIMA;LIMA;LURIGANCHO;;CHOSICA;Con balón de Gas;64;Transitado
X1501180159;SANTA ROSA R-2;LIMA;LIMA;LURIGANCHO;;CHOSICA;Con balón de Gas;29;Activo
X1501180160;JEHOVA BENDICE A SU PUEBLO;LIMA;LIMA;LURIGANCHO;;CHOSICA;Con balón de Gas;63;Transitado
X1501180161;SAN CRISTOBAL VIRGEN DEL ROSARIO;LIMA;LIMA;LURIGANCHO;;CHOSICA;Con balón de Gas;60;Activo
X1501180162;SUMAK SUNJU;LIMA;LIMA;LURIGANCHO;;CHOSICA;Con balón de Gas;47;Transitado
X1501180163;CHICAS UNIDAS;LIMA;LIMA;LURIGANCHO;;CHOSICA;Con balón de Gas;80;Transitado
X1501180164;UNIDOS POR SIEMPRE;LIMA;LIMA;LURIGANCHO;;CHOSICA;Con balón de Gas;0;Inactivo
X1501180165;UNIDOS POR SIEMPRE -ÑAÑA;LIMA;LIMA;LURIGANCHO;;CHOSICA;Con balón de Gas;87;Transitado
X1501180166;EL OVALO DE PARAISO -CAJAMARQUILLA;LIMA;LIMA;LURIGANCHO;;CHOSICA;Con balón de Gas;24;Transitado
X1501180167;ENMANUEL- SANTA CRUZ DE CAJAMARQUILLA;LIMA;LIMA;LURIGANCHO;;CHOSICA;Con balón de Gas;48;Transitado
X1501180168;LAS TRES ESTRELLAS;LIMA;LIMA;LURIGANCHO;;CHOSICA;Con balón de Gas;103;Transitado
X1501180169;MANA -LA ERA;LIMA;LIMA;LURIGANCHO;;CHOSICA;Con balón de Gas;58;Transitado
X1501180170;MUJERES EMPRENDEDORAS;LIMA;LIMA;LURIGANCHO;;CHOSICA;Con balón de Gas;39;Transitado
X1501180171;CALIFORNIA 2;LIMA;LIMA;LURIGANCHO;;;Con balón de Gas;36;Transitado
X1501180172;SIEMPRE UNIDAS -CAJAMARQUILLA;LIMA;LIMA;LURIGANCHO;;CHOSICA;Con balón de Gas;69;Transitado
X1501180173;MADRES EMPRENDEDORAS DE AMPLIACION SIERRA LIMEÑA;LIMA;LIMA;LURIGANCHO;;CHOSICA;Con balón de Gas;88;Activo
X1501180174;LOS EUCALIPTOS;LIMA;LIMA;LURIGANCHO;;CHOSICA;Con balón de Gas;46;Cancelado
X1501180175;VIRGEN DE LOURDES;LIMA;LIMA;LURIGANCHO;;CHOSICA;Con balón de Gas;58;Activo
X1501180176;GOTITAS DE CARIDAD DE SANTO DOMINGO;LIMA;LIMA;LURIGANCHO;;;Con balón de Gas;51;Activo
X1501180177;PADRE HUBERT LANSSIER -CAJAMARQUILLA;LIMA;LIMA;LURIGANCHO;;CHOSICA;Con balón de Gas;91;Transitado
X1501180178;RINCONADA DE CALIFORNIA;LIMA;LIMA;LURIGANCHO;;CHOSICA;Con balón de Gas;94;Transitado
X1501180179;FLOW FAMILY- NICOLAS DE PIEROLA;LIMA;LIMA;LURIGANCHO;;;Con balón de Gas;13;Inactivo
X1501180180;ALINDOR DIAZ;LIMA;LIMA;LURIGANCHO;;CHOSICA;Con balón de Gas;97;Transitado
X1501180181;MADRES ACTIVAS;LIMA;LIMA;LURIGANCHO;;CHOSICA;Con balón de Gas;29;Inactivo
X1501180182;FE Y ESPERANZA DE NICOLAS DE PIEROLA;LIMA;LIMA;LURIGANCHO;;CHOSICA;Con balón de Gas;54;Transitado
X1501180183;CERRITO MILAGROSO -CAJAMARQUILLA;LIMA;LIMA;LURIGANCHO;;CHOSICA;Con balón de Gas;59;Transitado
X1501180184;SAN MIGUELITO DE PEDREGAL;LIMA;LIMA;LURIGANCHO;;CHOSICA;Con balón de Gas;64;Transitado
X1501180185;SHEKINAH;LIMA;LIMA;LURIGANCHO;;CHOSICA;Con balón de Gas;107;Transitado
X1501180186;EL RENACER DEL CHAPARRAL;LIMA;LIMA;LURIGANCHO;;CHOSICA;Con balón de Gas;25;Activo
X1501180187;DIOS ES MI GUIA -CARAPONGO;LIMA;LIMA;LURIGANCHO;;CHOSICA;Con balón de Gas;29;Transitado
X1501180188;CERRITO SAN MARTIN -CAJAMARQUILLA;LIMA;LIMA;LURIGANCHO;;CHOSICA;Con balón de Gas;83;Transitado
X1501180189;VIRGENCITA DE CHAPI -CAJARQUILLA;LIMA;LIMA;LURIGANCHO;;CHOSICA;Con balón de Gas;71;Transitado
X1501180190;DULCE COMPARTIR;LIMA;LIMA;LURIGANCHO;;CHOSICA;Ninguna;39;Activo
X1501180191;MUJERES LUCHADORAS DE EX FUNDO CHACRASANA;LIMA;LIMA;LURIGANCHO;;CHOSICA;Con balón de Gas;55;Transitado
X1501180192;MADRES SOLIDARIAS DE LA CAMPIÑA-GERTRUD BARTSCHI;LIMA;LIMA;LURIGANCHO;;CHOSICA;Con balón de Gas;57;Transitado
X1501180193;NUEVA ESPERANZA -CAJAMARQUILLA;LIMA;LIMA;LURIGANCHO;;CHOSICA;Con balón de Gas;77;Transitado
X1501180194;LOS TRIUNFADORES DE LA ASOCIACION DE VIVIENDA LOS TRIUNFADORES;LIMA;LIMA;LURIGANCHO;;CHOSICA;Con balón de Gas;43;Activo
X1501180195;LOS SAUCES DE CARAPONGO;LIMA;LIMA;LURIGANCHO;;CHOSICA;Con balón de Gas;36;Transitado
X1501180196;SANTA FELIPA;LIMA;LIMA;LURIGANCHO;;CHOSICA;Con balón de Gas;52;Transitado
X1501180197;LOS ANGELES DE LAS LOMAS;LIMA;LIMA;LURIGANCHO;;CHOSICA;Con balón de Gas;42;Activo
X1501180198;SAN JUAN BAUTISTA EL CHAPARRAL- JICAMARCA;LIMA;LIMA;LURIGANCHO;;CHOSICA;Con balón de Gas;65;Transitado
X1501180199;NUEVA CALIFORNIA;LIMA;LIMA;LURIGANCHO;;CHOSICA;Con balón de Gas;39;Activo
X1501180200;OSWALDO VARGAS CUELLAR;LIMA;LIMA;LURIGANCHO;;CHOSICA;Con balón de Gas;55;Transitado
X1501180201;SR DE MURUHUAY -ASC.VIVIENDA JUVENTUD PACHACUTEC;LIMA;LIMA;LURIGANCHO;;CHOSICA;Con balón de Gas;46;Transitado
X1501180202;MUJERES VIRTUOSAS - SAN ANTONIO II ZONA;LIMA;LIMA;LURIGANCHO;;CHOSICA;Con balón de Gas;38;Activo
X1501180203;MARIA AUXILIADORA;LIMA;LIMA;LURIGANCHO;;CHOSICA;Con balón de Gas;26;Transitado
X1501180204;SEÑOR DE HUANCA;LIMA;LIMA;LURIGANCHO;;CHOSICA;Con balón de Gas;103;Transitado
X1501180205;SARITA COLONIA CAJAMARQUILLA;LIMA;LIMA;LURIGANCHO;;CHOSICA;Con balón de Gas;40;Transitado
X1501180206;FAMILIAS UNIDAS;LIMA;LIMA;LURIGANCHO;;CHOSICA;Con balón de Gas;43;Transitado
X1501180207;LOS CAÑAVERALES LA CANTUTA;LIMA;LIMA;LURIGANCHO;;CHOSICA;Con balón de Gas;82;Transitado
X1501180208;NUEVO RENACER;LIMA;LIMA;LURIGANCHO;;CHOSICA;Con balón de Gas;45;Activo
X1501180209;LA PILETA -LA CAMPIÑA;LIMA;LIMA;LURIGANCHO;;CHOSICA;Con balón de Gas;45;Transitado
X1501180210;LOS GIRASOLES - HUACHIPA;LIMA;LIMA;LURIGANCHO;;CHOSICA;Con balón de Gas;68;Transitado
X1501190001;CENTROMIN LURIN;LIMA;LIMA;LURIN;;LURIN;Con balón de Gas;53;Transitado
X1501190002;VIRGEN DE GUADALUPE;LIMA;LIMA;LURIN;;;Con balón de Gas;73;Transitado
X1501190003;MISKI MIKUY WASI;LIMA;LIMA;LURIN;;;Con balón de Gas;46;Transitado
X1501190004;alto mirador;LIMA;LIMA;LURIN;;;Con balón de Gas;72;Cancelado
X1501190005;LOS JAZMINES DEL VALLE DE LURIN;LIMA;LIMA;LURIN;;;Con balón de Gas;57;Cancelado
X1501190006;JUNTOS PODEMOS;LIMA;LIMA;LURIN;;;Con balón de Gas;46;Transitado
X1501190007;EMANUEL CON JESUS NUESTRO REDENTOR;LIMA;LIMA;LURIN;;;Con balón de Gas;71;Transitado
X1501190008;las moras de lurin;LIMA;LIMA;LURIN;;;Con balón de Gas;71;Cancelado
X1501190009;CORAZON DE JESUS;LIMA;LIMA;LURIN;;;Con balón de Gas;57;Transitado
X1501190010;AMPLIACION LAS VIRREYNAS;LIMA;LIMA;LURIN;;;Con balón de Gas;72;Transitado
X1501190011;CENTRO POBLADO LAS PALMAS;LIMA;LIMA;LURIN;;;Con balón de Gas;89;Transitado
X1501190012;SANTA TERESA DE CALCUTA;LIMA;LIMA;LURIN;;;Con balón de Gas;103;Transitado
X1501190013;KILLARY;LIMA;LIMA;LURIN;;;Con balón de Gas;75;Transitado
X1501190014;3 ERA ETAPA VILLA LAS PALMAS - LURIN;LIMA;LIMA;LURIN;;LURIN;Con balón de Gas;85;Transitado
X1501190015;Martha Milagros Baja;LIMA;LIMA;LURIN;;;Ninguna;80;Cancelado
X1501190016;las viñas;LIMA;LIMA;LURIN;;;No tiene Cocina;50;Cancelado
X1501190017;LOMAS DE MAMACONA CALLE LOS SAUCES MZ A LT 2 LURIN;LIMA;LIMA;LURIN;;LURIN;Con balón de Gas;51;Transitado
X1501190018;LA CUARENTE 2020- LURIN;LIMA;LIMA;LURIN;;;Con balón de Gas;56;Transitado
X1501190019;virgen del carmen;LIMA;LIMA;LURIN;;;No tiene Cocina;29;Cancelado
X1501190020;PANCHO JULCA;LIMA;LIMA;LURIN;;;Con balón de Gas;38;Cancelado
X1501190021;MADRES EMPRENDEDORAS;LIMA;LIMA;LURIN;;;Con balón de Gas;40;Transitado
