Código Olla Común;Nombre de las Ollas Comunes;Departamento;Provincia;Distrito;Referencia;Centro Poblado;Cocina;N° Beneficiarios;Estado
X1501020045;MUJERES TRIUNFADORAS;LIMA;LIMA;ANCON;;;Con balón de Gas;60;Transitado
X1501020046;LA ESPERANZA;LIMA;LIMA;ANCON;;;Con balón de Gas;60;Transitado
X1501020047;VIRGEN DEL CARMEN;LIMA;LIMA;ANCON;;ANCON;Con balón de Gas;35;Transitado
X1501020048;MUJERES GUERRERAS 2023;LIMA;LIMA;ANCON;;;Con balón de Gas;38;Transitado
X1501020049;MUJERES GUERRERAS 2023;LIMA;LIMA;ANCON;;;Con balón de Gas;0;Inactivo
X1501020050;EMPATICOS UNIDOS 3+1+1;LIMA;LIMA;ANCON;;;Con balón de Gas;59;Transitado
X1501020051;LAS DELICIAS DE LLANTAS;LIMA;LIMA;ANCON;;ANCON;Con balón de Gas;60;Transitado
X1501020052;NIÑO JESUS;LIMA;LIMA;ANCON;;ANCON;Con balón de Gas;56;Transitado
X1501020053;NIÑO JESUS;LIMA;LIMA;ANCON;;ANCON;Con balón de Gas;0;En Proceso
X1501030004;CERRITO DE LA PAZ;LIMA;LIMA;ATE;;;Con balón de Gas;49;Transitado
X1501030006;LA FORTALEZA;LIMA;LIMA;ATE;;;Con balón de Gas;40;Transitado
X1501030007;TERESA DE CALCUTA;LIMA;LIMA;ATE;;;Con balón de Gas;55;Transitado
X1501030012;CORAZÓN DE JESÚS;LIMA;LIMA;ATE;;;Con balón de Gas;73;Transitado
X1501030013;CORAZÓN DE MARIA;LIMA;LIMA;ATE;;;Con balón de Gas;51;Activo
X1501030019;UCV 138 ZONA I HUAYCAN;LIMA;LIMA;ATE;;;Con balón de Gas;48;Transitado
X1501030020;LA ENCANTADA;LIMA;LIMA;ATE;;;Con balón de Gas;70;Transitado
X1501030021;LOS JAZMINES;LIMA;LIMA;ATE;;;Con balón de Gas;59;Transitado
X1501030024;ENMANUEL;LIMA;LIMA;ATE;;VITARTE;Con balón de Gas;45;Transitado
X1501030025;YESENIA SAENZ;LIMA;LIMA;ATE;;;Con balón de Gas;62;Transitado
X1501030026;UCV 141 ZONA J HUAYCAN;LIMA;LIMA;ATE;;VITARTE;Con balón de Gas;43;Transitado
X1501030027;VIOLETA CORREA DE BELAUNDE;LIMA;LIMA;ATE;;;Ninguna;0;Cancelado
X1501030028;JAVIER HERAUD;LIMA;LIMA;ATE;;VITARTE;Con balón de Gas;73;Transitado
X1501030029;MANA DEL CIELO;LIMA;LIMA;ATE;;VITARTE;Con balón de Gas;122;Transitado
X1501030030;NUEVA ESPERANZA;LIMA;LIMA;ATE;;VITARTE;Con balón de Gas;40;Transitado
X1501030031;FORESTALES;LIMA;LIMA;ATE;;;Con balón de Gas;60;Transitado
X1501030032;AQUI ME QUEDO;LIMA;LIMA;ATE;;;Con balón de Gas;58;Transitado
X1501030033;GRUPO M HORACIO ZEVALLOS;LIMA;LIMA;ATE;;;Con balón de Gas;78;Transitado
X1501030034;185 AMPLIACION;LIMA;LIMA;ATE;;;Ninguna;0;Cancelado
X1501030035;LAS GUERRERAS DE VILLA RICA;LIMA;LIMA;ATE;;;Con balón de Gas;50;Transitado
X1501030036;VIRGEN DE LAS MERCEDES;LIMA;LIMA;ATE;;;Con balón de Gas;35;Activo
X1501030037;SANTA ROSA;LIMA;LIMA;ATE;;;Con balón de Gas;52;Transitado
X1501030038;MUJERES EMPODERADAS BRINDANDO GUSTO Y SABOR;LIMA;LIMA;ATE;;;Con balón de Gas;71;Transitado
X1501030039;JARDIN DE SANTA ROSA;LIMA;LIMA;ATE;;;Con balón de Gas;57;Transitado
X1501030040;LOS CLAVELITOS;LIMA;LIMA;ATE;;VITARTE;Con balón de Gas;72;Transitado
X1501030041;LA SAGRADA FAMILIA;LIMA;LIMA;ATE;;;Con balón de Gas;48;Transitado
X1501030042;HIJOS DE LA NUEVA JUVENTUD;LIMA;LIMA;ATE;;;Ninguna;0;Cancelado
X1501030043;LAS LOMITAS DEL GOLF;LIMA;LIMA;ATE;;;Con balón de Gas;51;Transitado
X1501030044;MUJERES EMPODERADAS;LIMA;LIMA;ATE;;;Con balón de Gas;70;Transitado
X1501030045;VIRGEN DE COCHARCAS;LIMA;LIMA;ATE;;;Con balón de Gas;45;Activo
X1501030046;LOS TUNALES;LIMA;LIMA;ATE;;;Con balón de Gas;46;Transitado
X1501030047;LA ESPERANZA;LIMA;LIMA;ATE;;;Con balón de Gas;45;Transitado
X1501030048;LUZ DIVINA;LIMA;LIMA;ATE;;;Con balón de Gas;49;Inactivo
X1501030049;VIRGEN DEL CARMEN;LIMA;LIMA;ATE;;;Con balón de Gas;56;Transitado
X1501030050;SAN FRANCISCO DE ASIS;LIMA;LIMA;ATE;;;Con balón de Gas;38;Activo
X1501030051;FE Y ESPERANZA;LIMA;LIMA;ATE;;;Ninguna;0;Cancelado
X1501030052;RENACIENDO PERU;LIMA;LIMA;ATE;;;Con balón de Gas;46;Transitado
X1501030053;GIRASOLES DE GLORIA;LIMA;LIMA;ATE;;;Con balón de Gas;53;Transitado
X1501030054;15 DE MARZO;LIMA;LIMA;ATE;;;Con balón de Gas;59;Transitado
X1501030055;LAS LOMAS;LIMA;LIMA;ATE;;;Con balón de Gas;57;Transitado
X1501030056;LAS AMERICAS;LIMA;LIMA;ATE;;;Con balón de Gas;70;Activo
X1501030057;VIRGEN DE GUADALUPE;LIMA;LIMA;ATE;;;Con balón de Gas;56;Transitado
X1501030058;LA ESPERANZA;LIMA;LIMA;ATE;;;Con balón de Gas;35;Transitado
X1501030059;LOS PICAPEDREROS;LIMA;LIMA;ATE;;;Con balón de Gas;0;Cancelado
X1501030060;MUJERES VALIENTES;LIMA;LIMA;ATE;;;Con balón de Gas;50;Transitado
X1501030061;BENDICIÓN DE DIOS;LIMA;LIMA;ATE;;;Con balón de Gas;29;Transitado
X1501030062;LA FAMILIA DE VILLA SOL;LIMA;LIMA;ATE;;;Con balón de Gas;69;Transitado
X1501030063;NUEVA GENERACION;LIMA;LIMA;ATE;;;Con balón de Gas;49;Transitado
